"Main food description","Categoria","Calorias (kcal)","Proteina (g)","Carbohidrats (g)","Azucares totales
(g)","Fibra  (g)","Grasa (g)","Grasa saturada (g)","Grasa monoinsaturada (g)","Grasa poliinsaturada (g)","Colesterol (mg)","Retinol (mcg)","Vitamin A, RAE (mcg_RAE)","Caroteno, alpha (mcg)","Caroteno, beta (mcg)","Cryptoxanthin, beta (mcg)","Licopeno (mcg)","Luteina + zeaxanthin (mcg)","Tiamina (mg)","Riboflavina (mg)","Niacina (mg)","Vitamin B-6 (mg)","Acido folico(mcg)","Folato (mcg)","Folato, DFE (mcg_DFE)","Folato total (mcg)","Colina (mg)","Vitamina B-12 (mcg)","Vitamin B-12, added
(mcg)","Vitamina C (mg)","Vitamina D (D2 + D3) (mcg)","Vitamina E (alpha-tocopherol) (mg)","Vitamin E, added
(mg)","Vitamina K (phylloquinone) (mcg)","Calcio (mg)","fosforo (mg)","Magnesio (mg)","Hierro
(mg)","Zinc
(mg)","Cobre (mg)","Selenio (mcg)","Potasio (mg)","Sodio (mg)","Cafeina (mg)","Teobromina (mg)","Alcohol (g)","4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Agua
(g)"
"Cereal (Quaker Toasted Oat Bran)","Ready-to-eat cereal, lower sugar (=<21.2g/100g)","372","12.38","74.9","16.34","10.2","5.11","0.91","1.58","2.04","0","358","359","9","14","0","0","310","0.72","0.82","9.78","0.89","718","19","1240","737","24.6","0","0","11.5","0","3.11","2.47","2.1","242","518","168","29.9","7.72","0.317","7","438","365","0","0","0","0","0","0.003","0","0.015","0.01","0.773","0.054","0.011","1.559","0","0","1.954","0.086","0","0","0","0","0","4"
"Cereal (Uncle Sam)","Ready-to-eat cereal, lower sugar (=<21.2g/100g)","346","15.98","65.78","1.56","20.3","11.6","0.946","1.419","5.987","0","0","0","0","0","0","0","331","0.679","0.127","4.803","0.956","0","53","53","53","49.5","0","0","2.4","0","0.9","0","1.8","95","374","206","4.03","3.87","0.752","88.3","446","206","0","0","0","0","0","0","0","0","0","0.681","0.229","0.014","1.391","0.014","0","1.685","4.302","0","0","0","0","0","4.43"
"Cereal bar with fruit filling, baby food","Baby food: snacks and sweets","344","5.43","68.63","42","1.7","5.3","0.453","3.107","1.541","1","0","14","0","166","0","0","33","0.921","1.053","11.842","1.105","48","17","98","65","13.9","0.19","0","2.4","0","0.9","0.02","4.1","1053","247","19","13.16","0.59","0.082","14.1","180","157","0","0","0","0.001","0","0","0.001","0.001","0.004","0.288","0.11","0.012","3.032","0.063","0","1.083","0.458","0","0","0","0","0","14"
"Cereal beverage","Coffee","5","0.08","1","0.06","0.3","0.03","0.008","0.005","0.016","0","0","0","0","0","0","0","2","0.005","0.001","0.226","0.01","0","1","1","1","0.2","0","0","0","0","0.01","0","0","4","7","4","0.06","0.02","0.013","0.8","31","5","0","0","0","0","0","0","0","0","0","0.007","0","0","0.004","0","0","0.014","0.001","0","0","0","0","0","98.73"
"Cereal beverage with beet roots, from powdered instant","Coffee","5","0.08","1","0.06","0.3","0.03","0.008","0.005","0.016","0","0","0","0","0","0","0","2","0.005","0.001","0.226","0.01","0","1","1","1","0.2","0","0","0","0","0.01","0","0","4","7","4","0.06","0.02","0.013","0.8","31","5","0","0","0","0","0","0","0","0","0","0.007","0","0","0.004","0","0","0.014","0.001","0","0","0","0","0","98.73"
"Cereal or granola bar (General Mills Fiber One Chewy Bar)","Cereal bars","389","5","69.82","25","22.5","10","3.397","3.522","2.334","0","0","0","0","0","0","0","65","0.688","0.091","7.903","0.963","12","22","43","35","12.4","0","0","1.2","0","1.47","0","2.6","250","419","190","0.9","1.96","0.262","8.9","447","237","3","24","0","0","0.004","0.059","0.066","0.838","0.31","1.417","0.67","0.023","3.476","0.023","0","2.089","0.245","0","0","0","0","0","12.04"
"Cereal or granola bar (General Mills Nature Valley Chewy Trail Mix)","Cereal bars","415","5.71","72.27","42.86","3.8","11.43","1.435","4.585","4.028","0","302","302","0","1","0","0","0","0.64","0.391","5.443","0.52","72","21","142","92","28.6","0","0","0.1","0","2.66","0","7.5","116","168","63","8.71","1.35","0.226","10.5","189","185","0","0","0","0","0","0","0","0","0.01","1.117","0.26","0.028","4.486","0.068","0.001","3.619","0.408","0","0","0","0","0","9.3"
"Cereal or granola bar (General Mills Nature Valley Crunchy Granola Bar)","Cereal bars","471","10.1","64.4","28.57","5.3","19.8","2.37","4.38","12.05","0","0","2","6","17","0","0","189","0.264","0.119","1.581","0.085","0","23","23","23","22","0","0","0.9","0","2.09","0","14.6","61","277","97","2.95","2.03","0.392","16.2","336","294","0","0","0","0","0","0","0","0.01","0.01","1.54","0.76","0.01","4.37","0.13","0","11.99","0.06","0","0","0","0","0","3.9"
"Cereal or granola bar (General Mills Nature Valley Sweet and Salty Granola Bar)","Cereal bars","487","9.14","61.14","33.14","2.9","22.86","6.857","9.083","5.141","0","142","142","0","0","0","0","9","0.357","0.528","3.413","0.32","33","21","78","55","49.1","0.25","0","0.3","0","6.89","0","11.7","57","272","102","1.44","1.77","0.339","10","390","414","0","0","0","0.006","0.002","0.001","0.003","0.002","0.037","5.238","1.299","0.068","8.939","0.066","0","4.552","0.589","0","0","0","0","0","3.7"
"Cereal or granola bar (Kashi Chewy)","Nutrition bars","390","16.67","63.42","42.31","7.7","7.69","3.227","2.558","1.228","6","16","17","0","5","1","0","43","0.135","0.151","0.68","0.095","1","38","39","39","48.4","0.16","0","0.4","0.2","0.81","0","3.6","103","255","321","1.62","1.4","0.382","11.3","429","321","3","31","0","0.072","0.044","0.094","0.133","1.005","0.512","0.96","0.395","0.047","2.471","0.03","0.01","1.033","0.195","0","0","0","0","0","9.23"
"Cereal or granola bar (Kashi Crunchy)","Nutrition bars","429","18.57","53.26","17.14","11.4","15.71","1.213","9.486","4.181","0","1","2","0","1","1","0","38","0.115","0.289","1.158","0.063","1","44","46","45","46.7","0","0","0","0","7.14","0","2.7","0","271","107","3.39","1.6","0.506","9.1","415","293","0","0","0","0","0","0.001","0","0.001","0.003","0.934","0.21","0.071","9.291","0.034","0.01","3.876","0.193","0","0","0","0","0","9.34"
"Cereal or granola bar (Kellogg's Nutri-Grain Cereal Bar)","Cereal bars","365","4.22","67.61","28.98","3","8.67","1.442","1.989","4.544","0","603","604","4","8","2","0","37","1.153","2.067","19.267","1.833","0","14","14","14","11.2","0","0","7.8","0","0.93","0","15.3","576","134","37","6.14","5.24","0.142","5.6","247","354","0","0","0","0.002","0","0.001","0","0.001","0.01","0.979","0.38","0.008","1.95","0.026","0.001","4.022","0.52","0","0","0","0","0","16.7"
"Cereal or granola bar (Kellogg's Nutri-Grain Fruit and Nut Bar)","Cereal bars","403","9.38","66.72","32.45","7.5","10.93","1.93","5.705","2.581","0","266","267","0","5","0","0","40","0.465","0.616","6.442","0.612","109","18","203","127","24","1.16","1.14","0.2","0.8","3.72","0","1.2","65","290","105","5.65","3.28","0.436","11.3","328","195","0","0","0","0.001","0.004","0.05","0.041","0.561","0.175","0.766","0.328","0.034","5.664","0.007","0","2.52","0.061","0","0","0","0","0","11.26"
"Cereal or granola bar (Kellogg's Nutri-Grain Yogurt Bar)","Cereal bars","365","4.22","67.61","28.98","3","8.67","1.442","1.989","4.544","0","603","604","4","8","2","0","37","1.153","2.067","19.267","1.833","0","14","14","14","11.2","0","0","7.8","0","0.93","0","15.3","576","134","37","6.14","5.24","0.142","5.6","247","354","0","0","0","0.002","0","0.001","0","0.001","0.01","0.979","0.38","0.008","1.95","0.026","0.001","4.022","0.52","0","0","0","0","0","16.7"
"Cereal or granola bar (Kellogg's Special K bar)","Cereal bars","409","9.09","72.73","31.8","1.8","9.09","0","6.567","2.049","0","0","0","0","0","0","0","0","0.682","0.773","9.091","0.909","0","15","15","15","22.4","0","0","0","0","2.94","0","1.2","31","136","46","2.56","1.78","0.185","24.9","143","428","0","0","0","0","0","0","0","0","0","0","0","0.017","6.477","0.072","0","1.967","0.082","0","0","0","0","0","7.5"
"Cereal or granola bar (KIND Fruit and Nut Bar)","Cereal bars","487","13.69","44.3","22.56","6.6","31.89","3.834","19.004","7.487","0","0","0","0","3","0","0","19","0.188","0.462","3.056","0.18","0","54","54","54","37.4","0","0","0.1","0","10.2","0","7.7","115","315","167","3.09","2.66","0.943","6.2","460","45","0","0","0","0","0","0.026","0.028","0.157","0.074","2.5","0.954","0.149","18.743","0.096","0.001","7.441","0.043","0","0","0","0","0","7.86"
"Cereal or granola bar (Quaker Chewy 25% Less Sugar Granola Bar)","Cereal bars","412","5.55","69.4","20.8","3.1","12.5","5.008","5.303","1.44","0","0","0","0","1","0","0","47","0.19","0.116","1.049","0.089","0","17","17","17","15.5","0.09","0","0.1","0","1.52","0","2.3","417","159","48","2.03","1.34","0.163","5.7","199","312","0","1","0","0.001","0.019","0.24","0.19","1.413","0.547","1.521","1.014","0.012","5.287","0.004","0","1.415","0.025","0","0","0","0","0","11.65"
"Cereal or granola bar (Quaker Chewy 90 Calorie Granola Bar)","Cereal bars","408","4.17","79.17","29.17","4.2","8.33","2.083","2.945","1.929","0","0","3","1","32","0","0","32","0.189","0.076","1.064","0.122","0","17","17","17","24.4","0.03","0","0.5","0","2.23","0","2.8","333","152","71","1.5","1.23","0.307","10.1","224","313","5","57","0","0.004","0.005","0.024","0.024","0.137","0.07","0.884","0.887","0.025","2.893","0.02","0.006","1.798","0.129","0","0","0","0","0","6.23"
"Cereal or granola bar (Quaker Chewy Dipps Granola Bar)","Cereal bars","480","7.52","64.96","37.61","3.2","20.42","8.693","3.499","7.051","0","4","4","0","1","0","0","43","0.132","0.097","1.007","0.115","0","12","12","12","20.2","0.06","0","0.3","0.1","4.19","0","2","65","162","55","1.16","1.2","0.217","14.6","231","269","0","3","0","0","0.048","0.587","0.467","3.675","1.441","1.545","0.913","0.011","3.468","0.021","0","6.893","0.159","0","0","0","0","0","5.56"
"Cereal or granola bar (Quaker Chewy Granola Bar)","Cereal bars","418","5.65","70.2","28.92","3.8","16.57","6.061","6.967","1.576","0","0","0","0","0","0","0","0","0.169","0.082","0.765","0.066","0","16","16","16","16.7","0","0","0","0","0.31","0","16.4","41","176","64","2.19","1.3","0.273","11.1","237","291","0","0","0","0","0","0.198","0.153","1.157","0.43","2.175","1.834","0.019","6.916","0.032","0","1.512","0.064","0","0","0","0","0","6.45"
"Cereal or granola bar (Quaker Granola Bites)","Cereal bars","451","7.17","66.27","30","5.7","17.5","9.888","3.194","2.546","0","2","2","0","3","0","0","82","0.199","0.146","2.318","0.143","7","26","38","33","31.2","0.07","0","0.2","0","2.51","0","9.1","41","216","69","1.56","1.92","0.247","20","285","167","0","0","0","0.007","0.031","0.346","0.257","2.987","0.962","4.395","0.866","0.019","3.173","0.002","0","2.321","0.226","0","0","0","0","0","7.88"
"Cereal or granola bar with nuts, chocolate coated","Cereal bars","536","9.6","54.1","23.63","3.8","31.2","17.065","6.561","1.906","12","8","8","0","0","0","0","32","0.1","0.21","3.29","0.11","0","25","25","25","24.7","0.46","0","0.6","0","4.59","0","5.7","108","227","67","1.45","1.47","0.323","15.7","339","193","3","41","0","0.07","0.04","0.421","0.492","5.518","2.157","4.434","3.933","0.12","6.411","0.03","0","1.836","0.07","0","0.01","0","0","0","3.2"
"Cereal or granola bar, chocolate coated, NFS","Cereal bars","480","7.52","64.96","37.61","3.2","20.42","8.693","3.499","7.051","0","4","4","0","1","0","0","43","0.132","0.097","1.007","0.115","0","12","12","12","20.2","0.06","0","0.3","0.1","4.19","0","2","65","162","55","1.16","1.2","0.217","14.6","231","269","0","3","0","0","0.048","0.587","0.467","3.675","1.441","1.545","0.913","0.011","3.468","0.021","0","6.893","0.159","0","0","0","0","0","5.56"
"Cereal or granola bar, coated with non-chocolate coating","Cereal bars","508","10.2","53.4","23.74","2.8","31.1","17.01","6.54","1.9","12","5","5","0","6","0","0","33","0.1","0.21","3.29","0.106","0","25","25","25","24.7","0","0","0.6","0","4.17","0","13.2","108","227","67","1.45","1.47","0.323","13.1","339","193","6","42","0","0.07","0.04","0.42","0.49","5.5","2.15","4.42","3.92","0.12","6.39","0.03","0","1.83","0.07","0","0.01","0","0","0","3.2"
"Cereal or granola bar, fruit and nut","Cereal bars","487","13.69","44.3","22.56","6.6","31.89","3.834","19.004","7.487","0","0","0","0","3","0","0","19","0.188","0.462","3.056","0.18","0","54","54","54","37.4","0","0","0.1","0","10.2","0","7.7","115","315","167","3.09","2.66","0.943","6.2","460","45","0","0","0","0","0","0.026","0.028","0.157","0.074","2.5","0.954","0.149","18.743","0.096","0.001","7.441","0.043","0","0","0","0","0","7.86"
"Cereal or granola bar, high fiber, coated with non-chocolate yogurt coating","Cereal bars","389","5","69.82","25","22.5","10","3.397","3.522","2.334","0","0","0","0","0","0","0","65","0.688","0.091","7.903","0.963","12","22","43","35","12.4","0","0","1.2","0","1.47","0","2.6","250","419","190","0.9","1.96","0.262","8.9","447","237","3","24","0","0","0.004","0.059","0.066","0.838","0.31","1.417","0.67","0.023","3.476","0.023","0","2.089","0.245","0","0","0","0","0","12.04"
"Cereal or granola bar, lowfat, NFS","Cereal bars","408","4.17","79.17","29.17","4.2","8.33","2.083","2.945","1.929","0","0","3","1","32","0","0","32","0.189","0.076","1.064","0.122","0","17","17","17","24.4","0.03","0","0.5","0","2.23","0","2.8","333","152","71","1.5","1.23","0.307","10.1","224","313","5","57","0","0.004","0.005","0.024","0.024","0.137","0.07","0.884","0.887","0.025","2.893","0.02","0.006","1.798","0.129","0","0","0","0","0","6.23"
"Cereal or Granola bar, NFS","Cereal bars","471","10.1","64.4","28.57","5.3","19.8","2.37","4.38","12.05","0","0","2","6","17","0","0","189","0.264","0.119","1.581","0.085","0","23","23","23","22","0","0","0.9","0","2.09","0","14.6","61","277","97","2.95","2.03","0.392","16.2","336","294","0","0","0","0","0","0","0","0.01","0.01","1.54","0.76","0.01","4.37","0.13","0","11.99","0.06","0","0","0","0","0","3.9"
"Cereal or granola bar, nonfat","Cereal bars","342","5.9","77.6","45.24","7.4","0.9","0.2","0.24","0.35","0","0","1","0","12","9","0","113","0.03","0.07","0.4","1.59","302","14","527","316","22.6","0.18","0","1.7","0","0.22","0","1.3","3","122","50","4","1.42","0.234","8.3","220","16","0","0","0","0","0","0","0","0.002","0.002","0.175","0.021","0.001","0.241","0","0","0.332","0.019","0","0","0","0","0","13.7"
"Cereal or granola bar, oats, nuts, coated with non-chocolate coating","Cereal bars","455","8.6","60.13","34","4.3","20","5.668","9.491","3.643","0","5","5","0","1","0","0","15","0.102","0.36","1.318","0.072","0","18","18","18","27.1","0.14","0","0.2","0","7.6","0","1.5","136","192","95","1.49","1.41","0.337","6.5","320","486","0","0","0","0.018","0.022","0.177","0.207","2.431","0.908","1.506","0.392","0.082","9.399","0.003","0","3.628","0.014","0","0","0","0","0","8.74"
"Cereal or granola bar, peanuts , oats, sugar, wheat germ","Cereal bars","471","10.1","64.4","28.57","5.3","19.8","2.37","4.38","12.05","0","0","2","6","17","0","0","189","0.264","0.119","1.581","0.085","0","23","23","23","22","0","0","0.9","0","2.09","0","14.6","61","277","97","2.95","2.03","0.392","16.2","336","294","0","0","0","0","0","0","0","0.01","0.01","1.54","0.76","0.01","4.37","0.13","0","11.99","0.06","0","0","0","0","0","3.9"
"Cereal or granola bar, reduced sugar, NFS","Cereal bars","412","5.55","69.4","20.8","3.1","12.5","5.008","5.303","1.44","0","0","0","0","1","0","0","47","0.19","0.116","1.049","0.089","0","17","17","17","15.5","0.09","0","0.1","0","1.52","0","2.3","417","159","48","2.03","1.34","0.163","5.7","199","312","0","1","0","0.001","0.019","0.24","0.19","1.413","0.547","1.521","1.014","0.012","5.287","0.004","0","1.415","0.025","0","0","0","0","0","11.65"
"Cereal or granola bar, with coconut, chocolate coated","Cereal bars","531","5.2","55.2","34.27","6.2","32.2","22.72","4.97","3.1","0","0","0","0","0","0","0","48","0.14","0.08","0.42","0.12","0","9","9","9","12.8","0.07","0","0.5","0","0.3","0","1.4","42","154","56","1.75","1.17","0.319","16.4","254","152","3","41","0","0","0.16","1.97","1.58","11.72","4.41","2.15","0.74","0","4.97","0","0","3.1","0","0","0","0","0","0","6.1"
"Cereal or granola bar, with rice cereal","Cereal bars","417","3.4","80.5","19.36","0","9","1.4","2.5","5.1","0","270","270","0","0","0","0","0","0.7","0.8","9.1","0.9","199","42","381","241","0","0","0","0","0","0","0","0","3","42","13","2.2","0.5","0.1","11","39","351","0","0","0","0","0","0","0","0","0.009","0.878","0.324","0.018","1.943","0.018","0","4.346","0.579","0","0","0","0","0","5.9"
"Cereal or granola bar, with yogurt coating (General Mills Nature Valley Chewy Granola Bar)","Cereal bars","423","5.71","74.29","40","4.4","11.43","1.372","6.372","3.476","0","475","475","0","0","0","0","0","0.905","0.542","7.302","0.708","112","14","205","126","19.6","0.01","0","0","0","1.7","0","6.9","286","191","62","1.03","1.58","0.173","12.3","168","271","0","0","0","0.004","0.002","0.001","0.003","0.003","0.02","1.004","0.241","0.027","6.212","0.132","0","2.661","0.815","0","0","0","0","0","7.18"
"Cereal, baby food, jarred, NFS","Baby food: cereals","76","0.89","15.82","8.85","0.9","0.89","0.126","0.216","0.253","0","0","0","0","0","0","0","54","0.111","0.133","1.77","0.089","22","0","38","22","4.1","0.22","0.22","13.9","0","0.59","0.59","1.4","6","41","11","7.5","7.5","0.074","3","97","4","0","0","0","0","0","0","0","0.002","0.001","0.106","0.007","0.001","0.215","0","0","0.242","0.002","0","0","0","0","0","82"
"Cereal, bran flakes","Ready-to-eat cereal, lower sugar (=<21.2g/100g)","352","9.65","81.25","16.9","14.2","2.9","0.45","0.9","1.35","0","762","762","0","3","0","0","143","1.3","1.45","16.95","1.7","660","19","1140","678","31.2","5.1","5.1","0","3.4","0.79","0","2","40","364","165","27.95","6.4","0.4","50.2","434","505","0","0","0","0","0","0","0","0","0.002","0.39","0.04","0.004","0.882","0.01","0.001","1.242","0.108","0","0.001","0","0","0","3.35"
"Cereal, chocolate flavored, frosted, puffed corn","Ready-to-eat cereal, higher sugar (>21.2g/100g)","405","3.34","87.2","43.7","3.8","3.5","0.961","2.079","0.231","0","1324","1324","0","0","0","0","0","1.323","1.499","17.637","1.764","334","19","587","353","4.5","5.29","5.29","52.9","0","0.11","0","0.6","70","141","36","15.87","0.56","0.24","6.5","176","534","4","136","0","0","0","0","0","0","0.001","0.494","0.458","0.001","2.079","0","0","0.225","0.008","0","0","0","0","0","3.42"
"Cereal, cooked, NFS","Grits and other cooked cereals","64","2.21","11.36","0.17","1.7","1.09","0.186","0.332","0.386","0","0","0","0","0","0","0","27","0.062","0.023","0.17","0.015","0","4","4","4","6.8","0","0","0","0","0.07","0","0.3","12","65","24","0.68","0.62","0.072","4.8","58","70","0","0","0","0","0","0","0","0.003","0.002","0.158","0.01","0.002","0.331","0","0","0.369","0.017","0","0","0","0","0","84.77"
"Cereal, corn flakes","Ready-to-eat cereal, lower sugar (=<21.2g/100g)","357","7.5","84.1","9.5","3.3","0.4","0.116","0.067","0.196","0","481","490","54","83","0","0","339","1.34","1.52","17.9","1.79","323","34","583","357","8.7","5","5","21","3.6","0.12","0","0","5","102","39","28.9","1","0.198","8.3","168","729","0","0","0","0","0","0","0","0","0","0.104","0.012","0","0.067","0","0","0.184","0.012","0","0","0","0","0","3.76"
"Cereal, corn puffs","Ready-to-eat cereal, lower sugar (=<21.2g/100g)","357","7.69","82.82","9.76","8.8","3.46","0.576","0.99","1.277","0","870","879","52","80","0","0","1236","1.955","2","24.25","2.3","768","19","1324","787","15.3","5.7","5.7","25.4","3.3","0.3","0","0.2","570","189","51","32","17.42","0.142","8.5","223","596","0","0","0","0","0","0.005","0.029","0","0.009","0.434","0.081","0.007","0.967","0.014","0","1.214","0.04","0","0","0.016","0.005","0","2.79"
"Cereal, crispy rice","Ready-to-eat cereal, lower sugar (=<21.2g/100g)","383","6.69","86.22","12.12","0.7","1.26","0.36","0.243","0.293","0","1136","1136","0","0","0","0","0","2.05","1.288","28.967","1.937","602","4","1027","606","6","5.45","5.45","64.5","7.6","0.06","0","0","5","98","23","32.73","1.3","0.149","18","106","545","0","0","0","0","0","0","0","0","0.013","0.273","0.073","0","0.243","0","0","0.293","0","0","0","0","0","0","3.62"
"Cereal, frosted corn flakes","Ready-to-eat cereal, higher sugar (>21.2g/100g)","389","4.25","90.2","39.27","1.2","0.87","0.107","0.171","0.435","0","448","454","36","54","0","0","763","1.21","1.37","16.12","1.61","304","19","536","323","5.4","4.84","4.84","19.4","3.2","0.09","0","0.2","3","46","12","11.6","0.24","0.12","5.5","82","451","0","0","0","0","0","0","0","0.001","0.001","0.088","0.016","0.003","0.171","0","0","0.421","0.014","0","0","0","0","0","3"
"Cereal, frosted oat cereal with marshmallows","Ready-to-eat cereal, higher sugar (>21.2g/100g)","400","7.1","84.7","36.13","4.3","3.33","0.62","1.1","1.28","0","500","500","0","0","0","0","92","1.32","1.5","17.64","1.76","334","19","587","353","16.1","5.29","5.29","20","3.6","0.45","0","1.4","333","141","28","15","7.94","0.141","14.6","207","533","0","0","0","0","0","0","0","0.011","0.006","0.522","0.033","0.006","1.094","0","0","1.222","0.056","0","0","0","0","0","2.8"
"Cereal, frosted rice","Ready-to-eat cereal, higher sugar (>21.2g/100g)","384","4.3","91.3","40.2","0.5","0.4","0.1","0.1","0.1","0","1250","1250","0","0","0","0","0","1.25","1.42","16.7","1.67","396","4","677","400","3.6","5","5","50","5","11.25","11.18","0.1","6","81","23","18","0.8","0.164","15.4","59","371","0","0","0","0","0","0","0","0","0.002","0.089","0.007","0.001","0.099","0","0","0.082","0.018","0","0","0","0","0","2.5"
"Cereal, fruit rings","Ready-to-eat cereal, higher sugar (>21.2g/100g)","391","4.69","85.94","45.31","2.2","3.2","0.687","1.47","0.976","0","444","448","24","37","0","0","625","1.16","1.33","15.63","1.55","606","19","1049","625","5.8","4.69","4.69","18.8","3.1","0.01","0","0.1","313","78","24","28.12","11.72","0.064","9.9","104","453","0","0","0","0","0","0","0","0.005","0.003","0.569","0.09","0.01","1.456","0","0.004","0.947","0.029","0","0","0","0","0","2.5"
"Cereal, granola","Ready-to-eat cereal, higher sugar (>21.2g/100g)","422","9.96","73.75","22.2","9.4","11.46","1.532","4.759","3.765","1","0","1","1","4","0","0","153","0.32","0.19","1.75","0.184","0","28","28","28","25.4","0.1","0","0.4","0","1.1","0","10.7","82","347","93","3.03","1.9","0.244","12.4","426","103","0","0","0","0.002","0.001","0.01","0.008","0.071","0.034","1.016","0.303","0.028","4.664","0.065","0","3.064","0.698","0","0.002","0","0","0","3"
"Cereal, muesli","Ready-to-eat cereal, higher sugar (>21.2g/100g)","355","8.6","74.9","25.1","7.7","5.4","0.6","2.5","1.39","0","156","157","7","12","0","0","259","0.68","0.76","9.1","3.64","708","19","1223","727","22.4","10.89","10.89","0.3","0.7","9.82","9.82","1.6","36","225","67","8.19","2.59","0.329","21.2","324","239","0","0","0","0","0","0","0","0.004","0.003","0.502","0.074","0.023","2.47","0.002","0","1.353","0.036","0","0","0","0","0","10"
"Cereal, nestum","Baby food: cereals","64","2.21","11.36","0.17","1.7","1.09","0.186","0.332","0.386","0","0","0","0","0","0","0","27","0.062","0.023","0.17","0.015","0","4","4","4","6.8","0","0","0","0","0.07","0","0.3","12","65","24","0.68","0.62","0.072","4.8","58","70","0","0","0","0","0","0","0","0.003","0.002","0.158","0.01","0.002","0.331","0","0","0.369","0.017","0","0","0","0","0","84.77"
"Cereal, oat, NFS","Ready-to-eat cereal, lower sugar (=<21.2g/100g)","372","12.4","73.2","4.5","10.1","6.6","1.6","2.3","2.4","0","990","990","0","0","0","0","159","1.3","0.1","17.9","1.79","692","22","1198","714","26.2","6.77","6.77","21.4","3.6","0.41","0","2","357","357","114","28.9","13.4","0.387","24.9","633","497","0","0","0","0","0","0","0","0.027","0.014","1.27","0.117","0.012","2.278","0.045","0","2.19","0.068","0","0","0","0","0","3.76"
"Cereal, puffed rice","Ready-to-eat cereal, lower sugar (=<21.2g/100g)","383","7.01","87.78","0","1.4","0.9","0.325","0.18","0.345","0","0","0","0","0","0","0","0","0.441","0.265","3.525","0","150","4","259","154","6","0","0","0","0","0.1","0","0.1","9","118","30","2.86","1.1","0.239","10.5","116","5","0","0","0","0","0","0","0","0","0.007","0.296","0.022","0.002","0.178","0","0","0.285","0.06","0","0","0","0","0","3.91"
"Cereal, puffed wheat, plain","Ready-to-eat cereal, lower sugar (=<21.2g/100g)","366","16.26","76.39","1.37","9.4","2.15","0.413","0.313","1.073","0","0","0","0","0","0","0","0","0.639","0.397","5.286","0.13","122","32","240","154","32.7","0.42","0","0","0","0","0","2","24","331","133","4.41","3.07","0.453","123.1","364","5","0","0","0","0","0","0","0","0","0.004","0.312","0.015","0.073","0.261","0","0","0.803","0.04","0","0.002","0","0","0","3.69"
"Cereal, puffed wheat, sweetened","Ready-to-eat cereal, higher sugar (>21.2g/100g)","380","5.7","88.5","56.2","5","2.2","0.5","0.4","0.5","0","556","556","0","0","0","0","92","1.39","1.57","18.5","1.85","351","19","616","370","15.6","5.6","5.6","22","3.7","0.41","0","2.8","14","213","59","1.5","1.7","0.195","29.1","183","142","0","0","0","0","0","0","0","0","0","0.199","0.298","0.004","0.384","0.011","0","0.46","0.04","0","0","0","0","0","2.9"
"Cereal, raisin bran","Ready-to-eat cereal, higher sugar (>21.2g/100g)","333","7.62","79.64","32.97","12","1.74","0.36","0.353","0.852","0","316","316","0","2","0","0","110","0.615","0.71","8.485","0.825","320","19","563","339","25.7","2.52","2.52","0.4","2.1","0.36","0","1.1","38","339","152","16.77","5.08","0.454","22.2","536","424","0","0","0","0","0","0","0","0","0","0.334","0.023","0.008","0.336","0.008","0","0.791","0.062","0","0","0","0","0","8.05"
"Cereal, ready-to-eat, NFS","Ready-to-eat cereal, higher sugar (>21.2g/100g)","373","9.05","79.47","22.17","7.1","4.81","0.938","1.373","1.486","0","799","800","1","6","10","0","250","1.667","1.126","21.567","2.403","591","20","1025","612","18.2","7.36","7.36","22.1","4.2","0.35","0","1.7","292","269","79","25.44","11.41","0.246","16.4","416","514","0","0","0","0","0","0.016","0.014","0.011","0.011","0.723","0.084","0.007","1.351","0.026","0.001","1.379","0.047","0","0","0.002","0","0","3.55"
"Cereal, rice flakes","Ready-to-eat cereal, lower sugar (=<21.2g/100g)","383","6.69","86.22","12.12","0.7","1.26","0.36","0.243","0.293","0","1136","1136","0","0","0","0","0","2.05","1.288","28.967","1.937","602","4","1027","606","6","5.45","5.45","64.5","7.6","0.06","0","0","5","98","23","32.73","1.3","0.149","18","106","545","0","0","0","0","0","0","0","0","0.013","0.273","0.073","0","0.243","0","0","0.293","0","0","0","0","0","0","3.62"
"Cereal, toasted oat","Ready-to-eat cereal, lower sugar (=<21.2g/100g)","395","10.71","75.96","3.57","10.7","5.36","0.926","1.786","1.786","0","1071","1071","0","0","0","0","132","1.339","1.518","17.857","1.786","696","18","1201","714","14.9","5.36","5.36","21.4","7.1","0.43","0","1.3","357","536","143","32.14","13.39","0.429","47","607","571","0","0","0","0","0","0","0","0","0.015","0.844","0.066","0","1.718","0.041","0.028","1.719","0.06","0","0","0.006","0","0","3.68"
